Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in US Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend,Year
Please Give,Sony,88,62,Comedy,Comedy,,,4.03,0.23,4.26,3,142.00%,0.1,2010
Extract ,,62,37,Comedy,Comedy,1611,2694,8.8,2,10.8,7.5,144.00%,4.3,2009
30 Minutes or Less,Independent,43,48,Comedy,Comedy,2888,4616,37.05,3.49,40.55,28,144.81%,13.33,2011
"Be Kind, Rewind",,65,57,Comedy,Comedy,808,5013,11.18,,29.3,20,146.50%,4.05,2008
Morning Glory,Independent,54,54,Comedy,Comedy,2518,3655,31.01,27.78,58.78,40,146.95%,9.2,2010
Planet 51 ,Independent,22,45,Comedy,Animation,3035,4048,51.9,19.6,73.4,50,147.00%,12.3,2009
Confessions of a Shopaholic ,,24,53,Comedy,Comedy,2507,6010,44.27,63.57,108.3,70,155.00%,15,2009
You Again,Independent,18,45,Comedy,Comedy,2548,3300,25.7,6.16,31.86,20,159.30%,8.4,2010
The Informant! ,,78,42,Comedy,Comedy,2505,4177,13.7,20.8,35.5,22,161.00%,10.5,2009
Old Dogs ,,5,49,Comedy,Comedy,3425,4933,9.4,48.1,57.6,35,165.00%,16.9,2009
The Other Guys,Sony,78,57,Comedy,Action,3651,9735,119.22,51.05,170.27,100,170.27%,35.5,2010
A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,2875,4506,34.04,??,34.04,19,179.18%,12.95,2011
My Best Friend's Girl,Lionsgate,14,51,Comedy,Comedy,2604,3174,19.22,22.4,36.2,20,181.00%,8.27,2008
Step Brothers,Sony,54,68,Comedy,Comedy,3094,10000,100.47,27.64,128,65,196.92%,30.94,2008
The Men Who Stare at Goats ,Independent,52,43,Comedy,Comedy,2443,5201,32.4,15.8,48.2,24,201.00%,12.7,2009
Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,3482,5763,80.36,89.94,170.3,80,212.88%,20.07,2011
Cloudy with a Chance of Meatballs ,Sony,86,70,Comedy,Animation,3119,9716,124.9,87.8,212.7,100,213.00%,30.3,2009
I Now Pronounce You Chuck and Larry,Universal,13,73,Comedy,Comedy,3495,9795,120.06,65.99,186.05,85,218.89%,34.2,2007
Expelled: No Intelligence Allowed,,10,42,Comedy,Documentary,1052,2824,7.72,0,7.72,3.5,220.57%,2.97,2008
Get Him to the Greek,Universal,73,63,Comedy,Comedy,2697,6515,60.97,30.42,91.39,40,228.48%,17.6,2010
Little Fockers,Independent,9,40,Comedy,Comedy,3536,8720,123.69,109.01,232.7,100,232.70%,30.83,2010
Death at a Funeral,Independent,40,48,Comedy,Comedy,2459,6595,42.74,6.31,49.05,21,233.57%,16.2,2010
Tooth Fairy,Fox,16,46,Comedy,Comedy,3344,4190,60.02,52.34,112.36,48,234.08%,14,2010
Paul,Relativity,72,70,Comedy,Comedy,2802,4655,37.41,60.57,97.98,40,244.96%,13.04,2011
The Switch,Independent,52,44,Comedy,Comedy,2012,4193,27.78,19.95,47.73,19,251.21%,8.4,2010
All About Steve ,,6,35,Comedy,Comedy,2251,4994,33.86,4.07,37.93,15,253.00%,11.2,2009
Norbit,Paramount,9,56,Comedy,Comedy,3136,10904,95.67,63.64,159.31,60,265.52%,34.2,2007
Nanny McPhee Returns,Universal,77,54,Comedy,Comedy,2784,3020,29.01,64.23,93.25,35,266.43%,8.4,2010
Just Go With It,Happy Madison,19,63,Comedy,Romance,3548,8601,103.03,111.92,214.95,80,268.68%,30.51,2011
Couples Retreat ,Universal,12,47,Comedy,Comedy,3000,11429,109.2,57.2,166.4,60,277.00%,34.3,2009
Meet the Spartans,Independent,2,31,Comedy,Comedy,2605,7104,38.23,46.41,84.6,30,282.00%,18.51,2008
First Sunday,Independent,13,59,Comedy,Comedy,2213,8004,37.93,0.87,38.8,13,298.46%,17.7,2008
Daddy Day Camp,Sony,1,63,Comedy,Comedy,2332,1459,13.24,4.96,18.2,6,303.29%,3.4,2007
Why Did I Get Married Too?,Lionsgate,27,67,Comedy,Comedy,2155,13591,60.09,0.58,60.67,20,303.35%,29.3,2010
"I Love You, Man ",,83,72,Comedy,Comedy,2711,6570,71.4,20,91.4,30,305.00%,17.8,2009
Bruno ,Universal,68,48,Comedy,Comedy,2756,11110,60.1,70.7,130.8,42,311.00%,30.6,2009
Next Day Air ,,21,27,Comedy,Action,1138,3613,10,0,10,3,333.00%,4.1,2009
"Grown Ups	",Independent,10,59,Comedy,Comedy,3534,11462,161.9,105.5,267.4,80,334.25%,40.5,2010
Hotel for Dogs ,,46,57,Comedy,Comedy,3271,5201,73,45.2,118.2,35,338.00%,17,2009
Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,3167,7500,52.7,19.72,72.42,21,344.84%,23.75,2011
G-Force ,Disney,22,50,Comedy,Action,3697,8576,119.4,165.6,285.1,82.5,346.00%,31.7,2009
Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,1552,2470,8.31,149.63,157.94,45,350.98%,3.83,2011
Bride Wars ,Fox,11,56,Comedy,Comedy,3226,6528,100.4,13.4,114.7,30,382.00%,21.1,2009
Pineapple Express,Sony,68,74,Comedy,Action,3072,7567,87.34,14.28,101.5,26,390.38%,23.2,2008
Vampires Suck,Independent,4,32,Comedy,Comedy,3233,3774,36.66,43.32,79.98,20,399.90%,12.2,2010
Due Date,Warner Bros.,40,56,Comedy,Comedy,3355,9743,99.65,100.9,200.55,50,401.10%,32.69,2010
Burn After Reading,Relativity Media,78,64,Comedy,Comedy,2651,7215,60.36,103.36,154.8,37,418.38%,19.13,2008
Epic Movie,Independent,2,38,Comedy,Comedy,2801,6644,39.74,47.13,86.87,20,434.33%,18.6,2007
Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,2555,2744,24.82,,24.82,5,496.32%,,2011
Alvin and the Chipmunks,Fox,26,73,Comedy,Animation,3475,12750,217.33,143.14,360.47,70,514.95%,44.3,2007
Religulous,,70,78,Comedy,Documentary,502,6792,13.01,0.12,13.14,2.5,525.41%,3.41,2008
Alvin and the Chipmunks: The Squeakquel ,Independent,21,59,Comedy,Animation,3700,13210,219.5,221.3,440.7,75,588.00%,48.8,2009
No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,3018,6512,70.6,77.1,147.7,25,590.80%,19.7,2011
Paul Blart: Mall Cop ,Sony,33,50,Comedy,Action,3144,10125,80,103.3,183.3,26,705.00%,31.8,2009
The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,3615,23775,254.46,327,581.46,80,726.83%,85.95,2011
The Kids Are All Right,Independent,94,72,Comedy,Comedy,847,4162,20.81,8.55,29.37,4,734.25%,3.5,2010
Superbad,Sony,88,87,Comedy,Comedy,2948,11211,121.46,48.41,169.87,20,849.36%,33,2007
Jackass 3-D,Paramount,63,72,Comedy,Documentary,3081,16343,117.19,52.76,169.95,20,849.75%,50.4,2010
Bad Teacher,Independent,44,38,Comedy,Comedy,3049,10365,100.29,115.9,216.2,20,1080.98%,31.6,2011
The Hangover ,Warner Bros.,79,87,Comedy,Comedy,3269,13759,277.3,190,467.3,35,1335.00%,45,2009
The Son Of No One,Independent,18,61,Discovery,Thriller,,,0.03,,0.03,15,0.20%,0.02,2011
The Greatest,Independent,52,39,Discovery,Drama,,,0.11,0.3,0.41,6,6.83%,0.3,2010
Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,2003,1730,6.93,,6.93,25,27.71%,3.46,2011
The Company Men,Weinstein Company,66,55,Discovery,Drama,106,6111,4.4,0.4,4.8,15,32.00%,0.6,2011
Nine ,,37,40,Discovery,Drama,1412,3862,19.2,10.3,29.5,80,37.00%,5.45,2009
The Rum Diary,Independent,50,48,Discovery,Drama,2273,2259,13.07,8.48,21.55,45,47.89%,5.14,2011
Away We Go ,,67,74,Discovery,Comedy,4,32603,9.5,0.77,10.2,21,49.00%,0.13,2009
Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,,2.71,,2.71,5,54.22%,0.79,2011
Everybody's Fine ,,46,55,Discovery,Drama,2133,1806,9.2,4.7,13.9,21,66.00%,3.9,2009
Cirque du Freak: The Vampire's Assistant ,,38,50,Discovery,Action,2754,2285,13.9,14.3,28.2,40,71.00%,6.3,2009
Baby Mama,Independent,63,59,Discovery,Comedy,2543,6845,60.32,3.7,63.9,70,91.29%,17.41,2008
"Charlie St. Cloud	",Universal,27,62,Discovery,Fantasy,2718,4555,31.16,14.93,46.09,44,104.75%,12.4,2010
The Descendants,20th Century Fox,89,88,Discovery,Drama,29,41038,24.54,,24.54,20,122.71%,4.38,2011
"Welcome Home, Roscoe Jenkins",Universal,24,64,Discovery,Comedy,2387,6790,42.19,,43.4,27.5,157.82%,16.21,2008
Charlie Wilson's War,Universal,82,73,Discovery,Biography,2575,3750,66.66,51.81,118.48,75,157.97%,9.6,2007
The Tree Of Life,Independent,84,61,Discovery,Drama,4,93230,13.3,41,54.3,32,169.70%,0.37,2011
Larry Crowne,Universal,34,46,Discovery,Drama,2973,4405,35.61,16.8,52.41,30,174.69%,13.1,2011
Surf's Up,Sony,78,64,Discovery,Animation,3528,5000,58.87,90.18,149.04,85,175.35%,17.6,2007
For Colored Girls,Independent,33,73,Discovery,Drama,2127,9167,37.69,17.32,37.7,21,179.52%,19.5,2010
Whatever Works ,,50,63,Discovery,Comedy,9,29574,5.3,23.7,29,15,193.00%,0.26,2009
Tyler Perry's Meet the Browns,Independent,31,36,Discovery,Drama,2006,10011,41.98,0,41.98,20,209.90%,20.08,2008
The Nanny Diaries,The Weinstein Company,33,52,Discovery,Comedy,2629,2845,25.93,21.07,47,20,235.00%,7.5,2007
Role Models,Universal,77,75,Discovery,Comedy,2792,6865,66.69,25.09,66.7,28,238.21%,19.17,2008
Nights in Rodanthe,,31,56,Discovery,Drama,2704,4962,41.74,,75.7,30,252.33%,13.42,2008
"Daybreakers	",Lionsgate,67,50,Discovery,Action,2523,6003,30.1,21.31,51.42,20,257.10%,15.1,2010
The House Bunny,,39,54,Discovery,Comedy,2714,5355,0,,70,25,280.00%,14.53,2008
"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,3020,6326,84.34,58.5,142.84,50,285.68%,19.1,2011
Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,3339,5524,68.22,119.14,187.36,55,340.65%,18.45,2011
Tyler Perry's The Family That Preys,Independent,51,36,Discovery,Drama,2070,8397,37.11,0,37.11,10,371.10%,17.38,2008
The Bucket List,Warner Bros.,41,81,Discovery,Drama,2911,6661,93.47,80.84,174.31,45,387.36%,19.4,2007
Hancock,Sony,40,67,Discovery,Action,3965,15789,227.95,396.44,624.4,150,416.27%,62.6,2008
The Last Song,Disney,19,66,Discovery,Drama,2673,5989,62.95,26.09,89.04,20,445.20%,16,2010
50/50,Independent,93,93,Discovery,Comedy,2458,3517,34.9,1.62,36.51,8,456.39%,8.64,2011
The Game Plan,Disney,27,75,Discovery,Comedy,3103,7396,90.64,57.23,147.87,22,672.13%,22.9,2007
"Definitely, Maybe",Universal,71,72,Discovery,Comedy,2204,4430,32.01,23.2,55,7,785.71%,9.76,2008
Trespass,Independent,11,24,Escape,Thriller,,,0.02,3.1,3.12,35,8.93%,0.02,2011
Red State,Independent,57,59,Escape,Horror,,,1.1,,1.1,4,27.60%,,2011
City of Ember,Independent,52,48,Escape,Adventure,,,7.84,3.94,11.78,38,31.00%,3.13,2008
Death Race,Universal,42,69,Escape,Action,2532,4985,36.1,75.67,73.8,65,113.54%,12.62,2008
Shark Night 3D,Relativity,16,25,Escape,Horror,2806,2995,18.88,19.83,38.7,25,154.81%,8.4,2011
A Perfect Getaway ,,61,50,Escape,Mystery,2159,2755,15.5,6.7,22.2,14,159.00%,5.9,2009
Transporter 3,Independent,36,58,Escape,Action,2626,4594,31.72,77.26,60.9,30,203.00%,12.06,2008
Halloween II,,20,45,Escape,Horror,3025,5405,31.7,5.8,37.7,15,251.00%,16.3,2009
Orphan ,,55,65,Escape,Horror,2750,4681,68.3,5.5,75.8,30,253.00%,12.8,2009
The Happening,,19,29,Escape,Thriller,2986,10220,64.51,,163.4,60,272.33%,30.52,2008
Prom Night,Independent,8,46,Escape,Horror,2700,7705,43.87,,57.2,18,317.78%,20.81,2008
My Sister's Keeper ,,47,73,Escape,Drama,2606,4774,71.4,20,91.7,27.5,333.00%,12.4,2009
127 Hours,Independent,93,84,Escape,Adventure,916,2333,18.33,42.4,60.73,18,337.39%,0.26,2010
Hostel: Part II,Lionsgate,44,45,Escape,Horror,2350,3490,17.61,18.01,35.62,10,356.20%,8.2,2007
Harold and Kumar Escape from Guantanamo Bay,Warner Bros.,54,65,Escape,Adventure,2510,5939,38.11,5.38,43.3,12,360.83%,14.91,2008
Knowing ,Independent,33,50,Escape,Drama,3332,7384,146.3,37,183.3,50,367.00%,24.6,2009
The Final Destination ,Warner Bros.,29,52,Escape,Horror,3121,8782,66.5,86.1,152.6,40,382.00%,27.4,2009
2012,Sony,39,63,Escape,Action,3404,19165,165.6,602.4,767.9,200,384.00%,65.3,2009
Saw VI ,Independent,40,67,Escape,Horror,3036,4650,31.8,17,49.3,11,448.00%,14.1,2009
Fast Five,Universal,78,83,Escape,Action,3644,23655,209.83,416.3,626.13,125,500.90%,,2011
Saw 3-D,Independent,10,47,Escape,Crime,2808,8024,45.71,76.8,122.51,20,612.55%,22.53,2010
The Strangers,Relativity Media,44,48,Escape,Horror,2466,8515,52.6,29.79,77.6,9,862.22%,20.99,2008
Buried,Independent,86,63,Escape,Drama,11,9115,1.04,17.33,18.38,2,919.00%,0.1,2010
Saw IV,Independent,18,70,Escape,Horror,3183,9976,63.3,76.05,139.35,10,1393.53%,31.7,2007
Meet Dave,Fox,19,42,Fish Out Of Water,Adventure,3011,1744,11.8,38.85,50.5,60,84.17%,5.25,2008
The Pirates Who Don't Do Anything,,41,61,Fish Out Of Water,Animation,,,12.73,0.17,12.9,15,85.98%,4.25,2008
Australia,Fox,55,69,Fish Out Of Water,Adventure,2642,5602,46.69,161.8,129.4,78,165.90%,14.8,2008
Tron: Legacy,Independent,50,67,Fish Out Of Water,Action,3451,12578,148.21,143.2,291.41,170,171.42%,44.03,2010
The Spiderwick Chronicles,Paramount,79,67,Fish Out Of Water,Fantasy,3847,4940,71.2,91.64,162.8,92.5,176.00%,19,2008
Rango,Paramount,88,69,Fish Out Of Water,Animation,3917,9722,123.26,121.9,245.15,135,181.60%,38.08,2011
The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,2707,4879,58.01,17,75.01,40,187.52%,13.21,2011
Tropic Thunder,Paramount,83,69,Fish Out Of Water,Comedy,3319,7777,110.46,77.58,188,90,208.89%,25.81,2008
The Chronicles of Narnia: Prince Caspian,Disney,66,78,Fish Out Of Water,Action,3929,14007,141.62,278.04,419.6,200,209.80%,55.03,2008
In Bruges,Independent,81,85,Fish Out Of Water,Crime,,,7.8,25.59,32,15,213.33%,0.46,2008
You Don't Mess with the Zohan,Sony,36,50,Fish Out Of Water,Comedy,3462,11130,100.02,,201.8,80,252.25%,38.53,2008
Cars 2,Pixar,38,56,Fish Out Of Water,Animation,4115,16072,191.45,360.4,551.85,200,275.93%,66.14,2011
Hop,Relativity Media,26,50,Fish Out Of Water,Animation,3579,10490,108.09,75.87,183.95,63,291.99%,37.54,2011
The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,3395,10489,142.61,419.54,562.16,110,511.05%,35.61,2011
Sex Drive,Summit,46,61,Journey and Return,Adventure,2421,1490,8.4,2.01,10.41,19,54.79%,3.61,2008
Arthur Christmas,Aardman Animations,92,82,Journey and Return,Animation,3376,3537,33.7,57.5,91.2,150,60.80%,12.07,2011
Land of the Lost ,,26,38,Journey and Return,Drama,3521,5350,1.5,66.4,68.8,100,69.00%,18.8,2009
Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,3606,5889,57.31,49.2,106.51,135,78.89%,21.24,2011
Where the Wild Things Are ,Warner Bros.,73,59,Journey and Return,Adventure,3735,8754,63.4,16.3,85.3,100,85.00%,32.7,2009
Fly Me to the Moon,Independent,18,26,Journey and Return,Animation,,,12.42,27.9,32.6,25,130.40%,1.9,2008
Beowulf,Paramount,71,52,Journey and Return,Action,3153,8726,82.2,114.07,196.26,150,130.84%,27.5,2007
Alpha and Omega,Crest,17,41,Journey and Return,Animation,2625,3469,25.12,4.8,29.91,20,149.55%,9.1,2010
The Sisterhood of the Traveling Pants 2,,63,68,Journey and Return,Drama,2707,3945,44.09,,44.2,27,163.70%,10.68,2008
Hot Tub Time Machine,MGM,64,57,Journey and Return,Adventure,2754,5091,50.29,14.13,64.42,36,178.94%,14,2010
Bee Movie,Paramount,52,57,Journey and Return,Animation,3928,9679,126.63,160.49,287.12,150,191.42%,38,2007
The Darjeeling Limited,Fox,67,79,Journey and Return,Drama,698,2523,11.9,23.02,34.92,17.5,199.53%,1.8,2007
Coraline ,Universal,89,77,Journey and Return,Animation,2299,7329,75.3,46.6,121.9,60,203.00%,16.8,2009
Gulliver's Travels,Fox,21,31,Journey and Return,Comedy,2546,2477,42,194,237.38,112,211.95%,6.3,2010
The Forbidden Kingdom,Relativity Media,64,65,Journey and Return,Action,3151,6791,52.08,75.9,128.8,55,234.18%,21.4,2008
Madagascar: Escape 2 Africa,Paramount,64,73,Journey and Return,Animation,4056,1559,176.93,423.89,462.3,150,308.20%,63.11,2008
"Eat Pray Love	",Sony,36,46,Journey and Return,Drama,3082,7497,80.57,123.91,204.48,60,340.80%,23.1,2010
Up ,Disney,98,86,Journey and Return,Animation,3766,18085,293,434,727.1,175,415.00%,68.1,2009
Shrek Forever After,Paramount,57,64,Journey and Return,Animation,4359,16251,238.74,510.06,748.8,165,453.82%,70.8,2010
Alice in Wonderland,Disney,52,72,Journey and Return,Adventure,3728,31143,334.19,690.2,1024.39,200,512.20%,116.1,2010
Inception,Warner Bros.,86,93,Journey and Return,Action,3792,16557,292.58,531,823.58,160,514.74%,62.8,2010
Beverly Hills Chihuahua,Disney,41,56,Journey and Return,Adventure,3215,9114,93.12,54.76,116,20,580.00%,29.3,2008
Waiting For Forever,Independent,6,53,Love,Romance,3,2972,0.03,,0.03,5,0.50%,0.01,2011
Miss Pettigrew Lives for a Day,Independent,78,70,Love,Comedy,535,4655,12.31,2.86,15.17,60,25.28%,2.49,2008
What Happens in Vegas,Fox,28,72,Love,Comedy,3215,6274,80.28,,219.3,150,28.93%,20.17,2008
A Dangerous Method,Independent,79,89,Love,Drama,,,0.54,8.44,8.97,20,44.86%,0.17,2011
Across the Universe,Independent,54,84,Love,Romance,954,4009,24.34,5.02,29.37,45,65.26%,3.8,2007
My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,247,7174,5.31,2.95,8.26,10,82.58%,1.75,2011
Rachel Getting Married,Independent,85,61,Love,Drama,,,10.33,0.53,10.86,12,90.47%,0.29,2008
Youth in Revolt,The Weinstein Company,68,52,Love,Comedy,1873,3678,15.28,4.34,19.62,18,109.00%,6.9,2010
You Will Meet a Tall Dark Stranger,Independent,43,35,Love,Comedy,402,,3.24,23.42,26.66,22,121.18%,0.16,2010
Killers,Lionsgate,11,45,Love,Action,2859,5539,47.06,46.34,93.4,75,124.53%,15.8,2010
Going the Distance,Warner Bros.,53,56,Love,Comedy,3030,2272,17.8,24.25,42.05,32,131.41%,6.9,2010
I Love You Phillip Morris,Independent,71,57,Love,Comedy,100,,1.44,18.66,20.1,15,134.00%,0.11,2010
Tangled,Disney,89,88,Love,Animation,3603,13535,175.78,179.3,355.08,260,136.57%,48.77,2010
Penelope,Summit,52,74,Love,Comedy,,,10.01,10.73,20.75,15,138.33%,3.8,2008
Zack and Miri Make a Porno,The Weinstein Company,64,70,Love,Romance,3735,3680,31.3,,36.6,24,152.50%,10.07,2008
Leap Year,Universal,21,49,Love,Comedy,2511,3665,25.9,6.69,32.61,19,171.63%,9.2,2010
Something Borrowed,Independent,14,49,Love,Romance,2904,4802,39.05,21.14,60.18,35,171.95%,13.95,2011
The Invention of Lying ,,56,47,Love,Comedy,1707,4117,23.1,8.5,32,18.5,173.00%,7,2009
Just Wright,Fox,45,58,Love,Comedy,1831,4525,21.54,0.03,21.57,12,179.75%,8.3,2010
Love & Other Drugs,Fox,48,55,Love,Comedy,2455,3967,31.68,22.85,54.53,30,181.77%,9.74,2010
Love Happens ,,18,40,Love,Drama,1898,4245,22.9,11.2,33.1,18,184.00%,8.1,2009
Four Christmases,Warner Bros.,26,52,Love,Comedy,,,118.25,43.58,149.6,80,187.00%,31.07,2008
License to Wed,Warner Bros.,8,55,Love,Comedy,2604,4002,43.8,25.51,69.31,35,198.02%,10.4,2007
Monte Carlo,20th Century Fox,38,50,Love,Romance,2473,3014,23.18,16.48,39.66,20,198.32%,7.45,2011
The Curious Case of Benjamin Button,Warner Bros.,73,81,Love,Drama,2988,8987,79.01,206.42,322,160,201.25%,26.85,2008
Marley and Me,Fox,63,77,Love,Comedy,3480,10448,106.51,99.56,111.8,55,203.27%,36.36,2008
Ghosts of Girlfriends Past ,,27,47,Love,Comedy,3175,4854,51.5,48.4,101.9,50,204.00%,15.4,2009
The Time Traveler's Wife ,Paramount,38,65,Love,Drama,2988,6233,40.6,37.6,79.7,39,204.00%,18.6,2009
Over Her Dead Body,,15,47,Love,Comedy,,,0,,20.9,10,209.00%,4.03,2008
The Heartbreak Kid,Paramount,30,41,Love,Comedy,3229,4342,36.79,90.98,127.77,60,212.94%,14,2007
Not Easily Broken ,,34,66,Love,Drama,724,7340,10.6,0.14,10.7,5,214.00%,5.3,2009
The Back-up Plan,CBS,20,47,Love,Comedy,3280,3720,37.49,39.6,77.1,35,220.29%,12.2,2010
Good Luck Chuck,,3,61,Love,Comedy,2612,5226,35.02,24.17,59.19,25,236.77%,13.7,2007
She's Out of My League,Paramount,57,60,Love,Comedy,2956,3307,32.01,16.8,48.81,20,244.05%,9.8,2010
Life as We Know It,Independent,28,62,Love,Comedy,3150,4605,53.13,43.03,96.16,38,253.05%,14.5,2010
The Duchess,Paramount,60,68,Love,Drama,,,13.85,29.46,34.3,13.5,254.07%,3.3,2008
Letters to Juliet,Summit,40,62,Love,Comedy,2968,4562,53.03,26.15,79.18,30,263.93%,13.5,2010
Made of Honor,Sony,13,61,Love,Comedy,2729,5407,46.01,59.95,106,40,265.00%,14.76,2008
The Tourist,Sony,20,44,Love,Drama,2756,5977,67,210,278.34,100,278.34%,16,2010
WALL-E,Disney,96,89,Love,Animation,3992,15803,223.78,,507.3,180,281.83%,63.09,2008
Sex and the City 2,Warner Bros.,15,49,Love,Comedy,3445,3445,95.35,193,288.35,100,288.35%,31,2010
It's Complicated ,Universal,56,63,Love,Comedy,2887,7655,112.73,105.4,218.1,75,291.00%,22.1,2009
A Serious Man ,Universal,89,64,Love,Drama,6,41890,9.2,7.1,20.5,7,293.00%,0.3,2009
Water For Elephants,20th Century Fox,60,72,Love,Drama,2817,5979,58.71,58.39,117.09,38,308.14%,16.84,2011
Nick and Norah's Infinite Playlist,,73,67,Love,Comedy,2421,4672,31.49,,31.7,10,317.00%,11.31,2008
No Reservations,,39,64,Love,Comedy,2425,4826,43.11,49.49,92.6,28,330.72%,11.7,2007
Remember Me,Summit,28,70,Love,Drama,2212,3657,19.07,36.79,55.85,16,349.06%,8,2010
Music and Lyrics,Warner Bros.,63,70,Love,Romance,,,50.57,95.32,145.9,40,364.74%,13.6,2007
One Day,Independent,37,54,Love,Romance,1719,2955,13.84,41.4,55.24,15,368.27%,5.08,2011
Tyler Perry's Why Did I get Married,Independent,46,47,Love,Romance,2011,10618,55.2,0.66,55.86,15,372.42%,21.4,2007
Enchanted,Disney,93,80,Love,Comedy,3730,9233,127.81,212.68,340.49,85,400.57%,34.4,2007
Valentine's Day,Warner Bros.,17,54,Love,Comedy,3655,15351,110.49,106,216.49,52,416.33%,56.2,2010
Beginners,Independent,84,80,Love,Comedy,,,5.79,8.39,14.18,3.2,443.19%,0.14,2011
Dear John,Sony,29,66,Love,Drama,2969,10262,80.01,34.96,114.98,25,459.92%,30.4,2010
P.S. I Love You,Independent,21,82,Love,Romance,2454,2641,53.7,99.4,153.09,30,510.31%,6.5,2007
27 Dresses,Fox,40,71,Love,Comedy,3057,7526,76.81,83.5,160.3,30,534.33%,23.01,2008
Gnomeo and Juliet,Disney,56,52,Love,Animation,2994,8469,99.97,94,193.97,36,538.80%,25.36,2011
The Ugly Truth ,Independent,14,68,Love,Comedy,2882,9579,88.9,116.4,205.3,38,540.00%,27.6,2009
Twilight: Breaking Dawn,Independent,26,68,Love,Romance,4061,34012,260.8,374,634.8,110,577.09%,138.12,2011
Knocked Up,Universal,91,83,Love,Comedy,2871,10690,148.77,70.23,219,33,663.64%,30.7,2007
